"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"366","Red-knife,_or_Ta╠êl-sote'e-na╠ê",1,1,"kinbank","kinbank"
"367","Republican_Pawnee",0.8,1,"kinbank","kinbank"
"368","Seneca",0.6,1,"kinbank","kinbank"
"369","Slave_Lake_Indians_or_A-cha'o-tin-ne",1,1,"kinbank","kinbank"
"370","Tukuthe",1,1,"kinbank","kinbank"
"371","Tuscarora",0.3,1,"kinbank","kinbank"
"372","Two_Mountain_Iroquios",1,1,"kinbank","kinbank"
"373","Winnebagoe",1,1,"kinbank","kinbank"
"374","Wyandote",0.6,1,"kinbank","kinbank"
"375","Yakama",1,1,"kinbank","kinbank"
"376","Mosete╠ün_Chimane╠ü",1,1,"kinbank","kinbank"
"377","Movima",0.5,1,"kinbank","kinbank"
"378","Muisca_Chibcha_",0.5,1,"kinbank","kinbank"
"379","Murrinhpatha",0.545454545454545,1,"kinbank","kinbank"
"380","Nagovisi",1,1,"kinbank","kinbank"
"381","Nama",0.681818181818182,0.75,"kinbank","kinbank"
"382","Nambo",0.1,0.75,"kinbank","kinbank"
"383","Nasioi",1,1,"kinbank","kinbank"
"384","Navajo",0.19047619047619,1,"kinbank","kinbank"
"385","Negwa_(Yagwoia)",0.6,1,"kinbank","kinbank"
"386","Neme",0,0.5,"kinbank","kinbank"
"387","Nen",0.2,0.75,"kinbank","kinbank"
"388","Nen_",0,0.75,"kinbank","kinbank"
"389","Netsilik",1,1,"kinbank","kinbank"
"390","Nimboran",1,1,"kinbank","kinbank"
"391","Ninam",0,1,"kinbank","kinbank"
"392","Nivacle",0.0476190476190476,1,"kinbank","kinbank"
"393","Northeastern_Maidu",0.545454545454545,1,"kinbank","kinbank"
"394","Northern_Embera",0.0909090909090909,1,"kinbank","kinbank"
"395","Northern_Pomo",0.923076923076923,1,"kinbank","kinbank"
"396","NorthMuyu",0.5,1,"kinbank","kinbank"
"397","Northwestern_Maidu",1,1,"kinbank","kinbank"
"398","Nunamiut",0.954545454545455,1,"kinbank","kinbank"
"399","Nungon",0.6,1,"kinbank","kinbank"
"400","Nyulnyul",0.0909090909090909,1,"kinbank","kinbank"
"401","Onobasulu",1,1,"kinbank","kinbank"
"402","Pagu",1,1,"kinbank","kinbank"
"403","Pa╠üez",0,1,"kinbank","kinbank"
"404","Pilaga╠ü",0.0454545454545455,1,"kinbank","kinbank"
"405","Puinave",1,1,"kinbank","kinbank"
"406","Pume╠ü",0.0909090909090909,1,"kinbank","kinbank"
"407","Qawasquar",0.0909090909090909,0,"kinbank","kinbank"
"408","Quechan",0.454545454545455,1,"kinbank","kinbank"
"409","Rotokas",1,1,"kinbank","kinbank"
"410","Sanapana",0,1,"kinbank","kinbank"
"411","Savosavo",1,1,"kinbank","kinbank"
"412","Sawi",0.8,1,"kinbank","kinbank"
"413","Selk_nam",0.0909090909090909,1,"kinbank","kinbank"
"414","Seri",0.0476190476190476,1,"kinbank","kinbank"
"415","Setaman_Baktamin",0.6,1,"kinbank","kinbank"
"416","Shasta",1,1,"kinbank","kinbank"
"417","Siwai_Motuna",0.2,1,"kinbank","kinbank"
"418","Sougb",1,1,"kinbank","kinbank"
"419","Suki",0.8,1,"kinbank","kinbank"
"420","Tabla",0.4,1,"kinbank","kinbank"
"421","Taiap",0.2,0.5,"kinbank","kinbank"
"422","Tehuelche",0,1,"kinbank","kinbank"
"423","Teiwa",0.8,1,"kinbank","kinbank"
"424","Telefol",0.0909090909090909,1,"kinbank","kinbank"
"425","Tidore_(version_1)",1,1,"kinbank","kinbank"
"426","Tidore_(version_2)_",1,1,"kinbank","kinbank"
"427","Tidore",1,1,"kinbank","kinbank"
"428","Tlingit",0.5,1,"kinbank","kinbank"
"429","Toba",0.0909090909090909,1,"kinbank","kinbank"
"430","Touo",0.772727272727273,1,"kinbank","kinbank"
"431","Trumai",1,1,"kinbank","kinbank"
"432","Tsafiki",1,1,"kinbank","kinbank"
"433","Tucanoan_Bara╠ü",1,1,"kinbank","kinbank"
"434","Tucano",1,1,"kinbank","kinbank"
"435","Tuyuca",0.0476190476190476,1,"kinbank","kinbank"
"436","Tzeltal",0.954545454545455,1,"kinbank","kinbank"
"437","Umbu-Ungu",0.545454545454545,1,"kinbank","kinbank"
"438","Usurufa",0.0909090909090909,1,"kinbank","kinbank"
"439","Waffa",1,1,"kinbank","kinbank"
"440","Wailaki",1,1,"kinbank","kinbank"
"441","Waorani",0.0476190476190476,1,"kinbank","kinbank"
"442","Watam",1,1,"kinbank","kinbank"
"443","Wersing",1,1,"kinbank","kinbank"
"444","Western_Apache",0.909090909090909,0.5,"kinbank","kinbank"
"445","Western_Pantar",0.545454545454545,1,"kinbank","kinbank"
"446","Xibe",1,1,"kinbank","kinbank"
"447","Yale",0.4,1,"kinbank","kinbank"
"448","Yalic",0.4,1,"kinbank","kinbank"
"449","Yamana",0.0909090909090909,1,"kinbank","kinbank"
"450","Yanoma╠ümi",0,1,"kinbank","kinbank"
"451","Yawa",1,1,"kinbank","kinbank"
"452","Yele_(Ye╠üli╠é_Dnye)",0.772727272727273,1,"kinbank","kinbank"
"453","Yelmek",0,1,"kinbank","kinbank"
"454","Yucatec_Maya",0.5,1,"kinbank","kinbank"
"455","Yuki",0.5,1,"kinbank","kinbank"
"456","Yukulta_(Ganggalida)_",1,1,"kinbank","kinbank"
"457","Yuracare",1,1,"kinbank","kinbank"
"458","Zuni",1,1,"kinbank","kinbank"
"459","Wapishana",0.0454545454545455,1,"kinbank","kinbank"
"460","Waura╠ü",0.0909090909090909,1,"kinbank","kinbank"
"461","Wayuu",0.0454545454545455,1,"kinbank","kinbank"
"462","'Are'are",0.117647058823529,1,"kinbank","kinbank"
"463","Achinese",1,1,"kinbank","kinbank"
"464","Aklanon",0.954545454545455,1,"kinbank","kinbank"
"465","Alangan",0,1,"kinbank","kinbank"
"466","Ampibabo_Lauje",0,1,"kinbank","kinbank"
"467","Anejom",0.545454545454545,1,"kinbank","kinbank"
"468","Aniwa",1,1,"kinbank","kinbank"
"469","Anuta",1,1,"kinbank","kinbank"
"470","Araki",1,1,"kinbank","kinbank"
"471","Aria_(Mouk-Aria)_",0.6,1,"kinbank","kinbank"
"472","Asera",0,1,"kinbank","kinbank"
"473","Atchin",0,1,"kinbank","kinbank"
"474","Atoni_(Uab_Meto)",1,1,"kinbank","kinbank"
"475","Atta",0,1,"kinbank","kinbank"
"476","Avava_",1,1,"kinbank","kinbank"
"477","Ayiwo",1,1,"kinbank","kinbank"
